Code_postal;Libelle_acheminement
80870;BEHEN
80160;BELLEUSE
80140;BERMESNIL MESNIL EUDIN
80370;BERNATRE
80850;BERTEAUCOURT LES DAMES
80560;BERTRANCOURT
80190;BETHENCOURT SUR SOMME
80610;BETTENCOURT ST OUEN
80700;BEUVRAIGNES
80190;BILLANCOURT
80150;LE BOISLE
80230;BOISMONT
80800;BONNAY
80830;BOUCHON
80540;BOUGAINVILLE
80500;BOUSSICOURT
80220;BOUTTENCOURT
80200;BOUVINCOURT EN VERMANDOIS
80300;BOUZINCOURT
80540;BOVELLES
80200;BUIRE COURCELLES
80560;BUS LES ARTOIS
80200;BUSSU
80800;BUSSY LES DAOURS
80290;BUSSY LES POIX
80132;CAMBRON
80540;CAMPS EN AMIENOIS
80150;CANCHY
80700;CARREPUIS
80310;CAVILLON
80320;CHAULNES
80250;CHAUSSOY EPAGNY
80700;LA CHAVATTE
80540;CLAIRY SAULCHOIX
80160;CONTY
80160;CONTY WAILLY
80440;COTTENCHY
80250;COULLEMELLE
80135;COULONVILLERS
80560;COURCELLES AU BOIS
80700;CREMERY
80190;CRESSY OMENCOURT
80190;CURCHY
80700;DANCOURT POPINCOURT
80370;DOMESMONT
80440;DOMMARTIN
80620;DOMQUEUR
80150;DOMVAST
80132;DRUCAT
80700;L ECHELLE ST AURIN
80570;EMBREVILLE
80300;ENGLEBELMER
80200;ENNEMAIN
80580;EPAGNE EPAGNETTE
80370;EPECAMPS
80360;EQUANCOURT
32300;MIRANDE
32390;MIREPOIX
32130;MONBLANC
32300;MONCLAR SUR LOSSE
32260;MONFERRAN PLAVES
32220;MONGAUSY
32240;MONGUILHEM
32140;MONLAUR BERNET
32230;MONLEZUN
32220;MONTADET
32240;MORMES
32800;NOULENS
32110;PANJAS
32130;PEBEES
32460;PERCHEDE
32700;PERGAIN TAILLAC
32320;PEYRUSSE GRANDE
32500;PIS
32340;PLIEUX
32130;POMPIAC
32320;POUYLEBON
32480;POUY ROQUELAURE
32160;PRECHAC SUR ADOUR
32120;PUYCASQUIER
32390;REJAUMONT
32400;RISCLE
32480;LA ROMIEU
32430;ROQUELAURE ST AUBIN
32420;SABAILLAN
32340;ST ANTOINE
32300;STE AURENCE CAZAUX
32300;ST ELIX THEUX
32430;ST GEORGES
32200;ST GERMIER
32220;ST LOUBE
32450;ST MARTIN GIMOIS
32100;ST ORENS POUY PETIT
32290;ST PIERRE D AUBEZIES
32310;ST PUY
32370;SALLES D ARMAGNAC
32140;SAMARAN
32260;SANSAN
32170;SARRAGUZAN
32500;LA SAUVETAT
32220;SAUVIMONT
32230;SCIEURAC ET FLOURES
32190;SEAILLES
32260;SEISSAN
32230;SEMBOUES
32120;SEREMPUY
32110;SION
32400;TARSAC
32240;TOUJOUSE
32190;VIC FEZENSAC LAGRAULAS
32730;VILLECOMTAL SUR ARROS
32420;VILLEFRANCHE
32300;VIOZAN
33760;ARBIS
33570;LES ARTIGUES DE LUSSAC
33500;ARVEYRES
33124;AUROS
33480;AVENSAN
33880;BAURECH
33710;BAYON SUR GIRONDE
33640;BEAUTIRAN
33340;BEGADAN
33130;BEGLES
33830;BELIN BELIET
33830;BELIN BELIET BELIET
33760;BELLEBAT
33390;BERSON
33500;LES BILLAUX
33540;BLASIMON
33910;BONZAC
33350;BOSSUGAN
33110;LE BOUSCAT
33124;BROUQUEYRAN
33420;CAMIAC ET ST DENIS
33660;CAMPS SUR L ISLE
33640;CASTRES GIRONDE
33490;CAUDROT
33360;CENAC
33720;CERONS
33710;COMPS
33340;COUQUEQUES
33750;CROIGNON
33620;CUBNEZAIS
33540;DAUBEZE
33860;DONNEZAC
33410;DONZAC
33840;ESCAUDES
33420;ESPIET
33190;FONTET
33190;FOSSES ET BALEYSSAC
33570;FRANCS
33126;FRONSAC
33430;GANS
33840;GISCOS
33170;GRADIGNAN
33590;GRAYAN ET L HOPITAL
50240;VILLIERS LE PRE
50690;VIRANDEVILLE
50700;YVETOT BOCAGE
51150;AMBONNAY
51290;AMBRIERES
51170;ARCIS LE PONSART
51800;ARGERS
51290;ARZILLIERES NEUVILLE
51240;AULNAY L AITRE
51110;AUMENANCOURT
51800;AUVE
51160;AVENAY VAL D OR
51190;AVIZE
51270;BANNAY
51300;BASSU
51490;BETHENIVILLE
51260;BETHON
51300;BLAISE SOUS ARZILLIERES
51110;BOURGOGNE
51290;BRANDONVILLERS
51140;BRANSCOURT
51800;BRAUX ST REMY
51120;BROYES
51530;BRUGNY VAUDANCOURT
51300;LE BUISSON
51500;CHAMPFLEURY
51310;CHAMPGUYON
51370;CHAMPIGNY
51120;CHARLEVILLE
51330;CHARMONT
51800;CHATRICES
51510;COMPERTRIX
51230;CONNANTRAY VAUREFROY
51320;CORBEIL
51210;CORFELIX
51230;CORROY
51390;COULOMMES LA MONTAGNE
51240;COUPEVILLE
51260;COURCEMAIN
51220;COURCY
51170;COURLANDON
51700;COURTHIEZY
51480;CUMIERES
51400;CUPERLY
51530;DIZY
51800;DOMMARTIN DAMPIERRE
51290;DROSNAY
51800;ECLAIRES
51300;ECRIENNES
51230;ECURY LE REPOS
51310;ESTERNAY
51340;ETREPY
51270;FEREBRIANGES
51230;FERE CHAMPENOISE NORMEE
51120;LA FORESTIERE
51210;FROMENTIERES
51290;GIFFAUMONT CHAMPAUBERT
51330;GIVRY EN ARGONNE
51230;GOURGANCON
51400;LES GRANDES LOGES
51390;GUEUX
51160;HAUTVILLERS
51300;HUIRON
51320;HUMBAUVILLE
51140;JONCHERY SUR VESLE
51700;JONQUERY
51290;LANDRICOURT
51700;LEUVRIGNY
51130;LOISY EN BRIE
51300;LOISY SUR MARNE
51500;LUDES
51800;MAFFRECOURT
51300;MAISONS EN CHAMPAGNE
51260;MARCILLY SUR SEINE
51290;MARGERIE HANCOURT
51260;MARSANGIS
51300;MATIGNICOURT GONCOURT
51320;LE MEIX TIERCELIN
51800;MINAUCOURT LE MESNIL LES HURLUS
51800;MOIREMONT
51530;MONTHELON
51530;MORANGIS
51530;MOUSSY
51330;LA NEUVILLE AUX BOIS
51480;LA NEUVILLE AUX LARRIS
51230;OGNES
51530;OIRY
51340;PARGNY SUR SAULX
51360;PRUNAY
51500;PUISIEULX
51120;QUEUDES
51330;RAPSECOURT
51330;REMICOURT
51310;REVEILLON
51480;ROMERY
51290;ST CHERON
52100;ST EULIEN
51700;STE GEMME
51600;ST HILAIRE LE GRAND
51300;ST LUMIER EN CHAMPAGNE
13540;AIX EN PROVENCE PUYRICARD
13190;ALLAUCH
13980;ALLEINS
13720;LA BOUILLADISSE
13620;CARRY LE ROUET
13620;CARRY LE ROUET LE ROUET
13350;CHARLEVAL
13160;CHATEAURENARD
13800;ISTRES
13117;MARTIGUES LAVERA
13500;MARTIGUES CARRO
13103;MAS BLANC DES ALPILLES
13650;MEYRARGUES
13590;MEYREUIL
13150;ST PIERRE DE MEZOARGUES
13140;MIRAMAS
13550;NOVES
13520;PARADOU
13821;LA PENNE SUR HUVEAUNE BASTIDONNE
13170;LES PENNES MIRABEAU
13790;PEYNIER
13124;PEYPIN
13860;PEYROLLES EN PROVENCE
13230;PORT ST LOUIS DU RHONE
13830;ROQUEFORT LA BEDOULE ROQUEFORT
13670;ST ANDIOL
13210;ST REMY DE PROVENCE
13700;ST VICTORET PAS DES LANCIERS
13730;ST VICTORET
13300;SALON DE PROVENCE
13530;TRETS
13470;CARNOUX EN PROVENCE
13001;MARSEILLE
13008;MARSEILLE CALLELONGUE
13011;MARSEILLE LA VALENTINE
13013;MARSEILLE
13013;MARSEILLE CROIX ROUGE
13013;MARSEILLE LES OLIVES
13016;MARSEILLE
14400;AGY
14370;AIRAN
14860;AMFREVILLE
14240;ANCTOVILLE FEUGUEROLLES SUR SEULLES
14240;ANCTOVILLE SERMENTOT
14400;ARGANCHY
14700;AUBIGNY
14140;LES AUTHIEUX PAPION
14340;AUVILLARS
14400;BAYEUX
14480;BAZENVILLE
14950;BEAUMONT EN AUGE
14260;BAUQUAY
14370;BELLENGREVILLE
14970;BENOUVILLE
14260;SOULEUVRE EN BOCAGE MONTAMY
14350;SOULEUVRE EN BOCAGE ETOUVY
14350;SOULEUVRE EN BOCAGE LA FERRIERE AU DOYEN
14350;SOULEUVRE EN BOCAGE LE BENY BOCAGE
14350;SOULEUVRE EN BOCAGE MALLOUE
14350;SOULEUVRE EN BOCAGE ST MARTIN DON
14350;SOULEUVRE EN BOCAGE ST PIERRE TARENTAINE
14990;BERNIERES SUR MER
14100;BEUVILLERS
14800;BONNEVILLE SUR TOUQUES
14210;BOUGY
14220;BOULON
14740;BRETTEVILLE L ORGUEILLEUSE
14130;LE BREUIL EN AUGE
14160;BRUCOURT
14210;LA CAINE
14230;LA CAMBE
14610;CAMBES EN PLAINE
14340;CAMBREMER ST PAIR DU MONT
14800;CANAPVILLE
14230;CANCHY
14490;CASTILLON
14190;CAUVICOURT
14770;CAUVILLE
14370;CLEVILLE
14710;COLLEVILLE SUR MER
14220;COMBRAY
14400;CONDE SUR SEULLES
14123;CORMELLES LE ROYAL
14480;COULOMBS
14430;CRICQUEVILLE EN AUGE
14400;CUSSY
14620;DAMBLAINVILLE
14350;DAMPIERRE
14430;DANESTAL
14440;DOUVRES LA DELIVRANDE
14430;DOZULE
14710;ECRAMMEVILLE
14610;EPRON
14210;EVRECY
14100;FAUGUERNON
14130;FIERVILLE LES PARCS
14710;LA FOLIE
14600;FOURNEVILLE
14680;FRESNEY LE PUCEUX
14590;FUMICHON
40700;MOMUY
40110;MORCENX
40700;MORGANX
40290;MOUSCARDES
40250;NERBIS
40300;OEYREGAVE
40110;ONESSE LAHARIE LAHARIE
40300;ORTHEVIELLE
40160;PARENTIS EN BORN
40320;PECORADE
40700;PEYRE
40410;PISSOS RICHET
40465;PONTONX SUR L ADOUR
40380;POYANNE
40320;PUYOL CAZALET
40370;RION DES LANDES
40120;ROQUEFORT
40630;SABRES
40700;STE COLOMBE
40300;ST CRICQ DU GAVE
40380;ST GEOURS D AURIBAT
40240;ST JULIEN D ARMAGNAC
40270;ST MAURICE SUR ADOUR
40200;ST PAUL EN BORN
40280;ST PIERRE DU MONT
40460;SANGUINET
40800;SARRON
40230;SAUBION
40700;SERRES GASTON
40110;SINDERES
40300;SORDE L ABBAYE
40140;SOUSTONS
40260;TALLER
40320;URGONS
40560;VIELLE ST GIRONS ST GIRONS
40240;VIELLE SOUBIRAN
40110;VILLENAVE
40160;YCHOUX
40110;YGOS ST SATURNIN
41170;ARVILLE
41310;AUTHON
41130;BILLY
41240;BINAS
41800;BONNEVEAU
41270;BOUFFRY
41160;BREVAINVILLE
41370;BRIOU
41120;CELLETTES
41320;LA CHAPELLE MONTMARTIN
41110;CHATEAUVIEUX
41220;DHUIZON
41270;DROUE
41360;EPUISAY
41100;FAYE
41160;FRETEVAL
41130;GIEVRES
41800;HOUSSAY
41310;HUISSEAU EN BEAUCE
41350;HUISSEAU SUR COSSON
41100;LISLE
41370;LORGES
41210;MARCILLY EN GAULT
41110;MAREUIL SUR CHER
41330;MAROLLES
41190;VALENCISSE ORCHAISE
41400;MONTHOU SUR CHER
41120;LES MONTILS
41250;MONT PRES CHAMBORD
41210;MONTRIEUX EN SOLOGNE
41160;MOREE
41500;MUIDES SUR LOIRE
41500;MULSANS
41300;PIERREFITTE SUR SAULDRE
41370;LE PLESSIS L ECHELLE
41270;LE POISLAY
41370;ROCHES
41270;ROMILLY
41500;ST DYE SUR LOIRE
41100;ST FIRMIN DES PRES
41290;STE GEMMES
41800;ST JACQUES DES GUERETS
41320;ST JULIEN SUR CHER
41220;ST LAURENT NOUAN NOUAN SUR LOIRE
41370;ST LEONARD EN BEAUCE
41100;ST OUEN
41000;ST SULPICE DE POMMERAY
41120;SEUR
41800;TERNAY
41290;VIEVY LE RAYE
41290;VIEVY LE RAYE LA BOSSE
41160;LA VILLE AUX CLERCS
41100;VILLETRUN
41600;YVOY LE MARRON
42820;AMBIERLE
42160;ANDREZIEUX BOUTHEON
42550;APINAC
42660;LE BESSAT
42210;BOISSET LES MONTROND
42440;CERVIERES
42190;CHANDON
80210;ERCOURT
80160;ESSERTAUX
80200;ETERPIGNY
80360;ETRICOURT MANANCOURT
80250;LA FALOISE
80500;FAVEROLLES
80500;FESCAMPS
80210;FEUQUIERES EN VIMEU
80420;FLIXECOURT
80540;FLUY
80150;FONTAINE SUR MAYE
80120;FORT MAHON PLAGE
80310;FOURDRINOY
80370;FROHEN SUR AUTHIE FROHEN LE PETIT
80220;GAMACHES
80290;GAUVILLE
80440;GLISY
80140;GREBAULT MESNIL
80250;GRIVESNES
80600;GROUCHES LUCHUEL
80290;GUIZANCOURT
80240;GUYENCOURT SAULCOURT
80490;HALLENCOURT WANEL
80400;HAM
80131;HARBONNIERES
80560;HARPONVILLE
80700;HATTENCOURT
80560;HEDAUVILLE
80290;HESCAMPS SOUPLICOURT
80370;HIERMONT
80600;HUMBERCOURT
80140;HUPPY
80300;IRLES
80500;LABOISSIERE EN SANTERRE
80150;LIGESCOURT
80140;LIGNIERES EN VIMEU
80320;LIHONS
80430;LIOMER
80160;LOEUILLY
80330;LONGUEAU
80150;MAISON PONTHIEU
80135;MAISON ROLAND
80370;MAIZICOURT
80290;MARLERS
80340;MERICOURT SUR SOMME
80300;MESNIL MARTINSART
80190;MESNIL ST NICAISE
80110;MEZIERES EN SANTERRE
80135;MILLENCOURT EN PONTHIEU
80300;MIRAUMONT
80320;MISERY
80300;MONTAUBAN DE PICARDIE
80500;MONTDIDIER
80260;MONTIGNY SUR L HALLUE
80260;MONTONVILLERS
80670;FIEFFES MONTRELET FIEFFES
80290;MORVILLERS ST SATURNIN
80690;MOUFLERS
80260;NAOURS
80140;NESLETTE
80150;NEUILLY LE DIEN
80132;NEUILLY L HOPITAL
80600;NEUVILLETTE
80860;NOUVION
80860;NOYELLES SUR MER
80240;NURLU
80290;OFFIGNIES
80160;ORESMAUX
80460;OUST MAREST
80160;PLACHY BUYON
80290;POIX DE PICARDIE LAHAYE ST ROMAIN
80260;POULAINVILLE
80370;PROUVILLE
80160;PROUZEL
80300;PYS
80250;QUIRY LE SEC
80500;REMAUGIES
80700;ROIGLISE
80740;LE RONSSOY
80190;ROUY LE GRAND
80970;SAILLY FLIBEAUCOURT
80360;SAILLY SAILLISEL
80140;ST MAULVIS
80135;ST RIQUIER
80160;ST SAUFLIEU
80540;SAISSEVAL
80290;SAULCHOY SOUS POIX
80470;SAVEUSE
80140;SENARPONT
80540;SEUX
80490;SOREL EN VIMEU
80310;SOUES
80340;SUZANNE
80240;TEMPLEUX LE GUERARD
80240;TINCOURT BOUCLY
80132;LE TITRE
80131;VAUVILLERS
80140;VILLEROY
80690;VILLERS SOUS AILLY
80500;VILLERS TOURNELLE
33990;HOURTIN
33420;JUGAZAN
33680;LACANAU LACANAU OCEAN
33460;LAMARQUE
33540;LANDERROUET SUR SEGUR
33550;LANGOIRAN
33210;LANGON
33840;LARTIGUE
33360;LATRESNE
33850;LEOGNAN
33550;LESTIAC SUR GARONNE
33220;LES LEVES ET THOUMEYRAGUES
33500;LIBOURNE
33310;LORMONT
33125;LOUCHATS
33420;LUGAIGNAC
33460;MACAU
33460;MARGAUX
33620;MARSAS
33127;MARTIGNAS SUR JALLE
33210;MAZERES
33390;MAZION
33380;MIOS CAUDOS
33570;MONTAGNE PARSAC
33450;MONTUSSAN
33420;NAUJAN ET POSTIAC
33750;NERIGEAN
33580;NEUFFONS
33730;NOAILLAN
33290;PAREMPUYRE
33240;PERISSAC
33490;LE PIAN SUR GARONNE
33220;PINEUILH
33500;POMEROL
33210;PREIGNAC
33710;PUGNAC
33210;PUJOLS SUR CIRON
33420;RAUZAN
33350;RUCH
33910;SABLONS
33220;ST ANDRE ET APPELLES
33220;ST AVIT ST NAZAIRE
33220;ST AVIT ST NAZAIRE ST NAZAIRE
33540;ST BRICE
33330;ST CHRISTOPHE DES BARDES
33820;ST CIERS SUR GIRONDE
33540;ST FELIX DE FONCAUDE
33350;STE FLORENCE
33490;STE FOY LA LONGUE
33580;STE GEMME
33750;ST GERMAIN DU PUCH
33920;ST GIRONS D AIGUEVIVES
33330;ST LAURENT DES COMBES
33540;ST LAURENT DU BOIS
33450;ST LOUBES
33390;ST MARTIN LACAUSSADE
33910;ST MARTIN DU BOIS
33230;ST MEDARD DE GUIZIERES
33190;ST MICHEL DE LAPUJADE
33210;ST PARDON DE CONQUES
33350;ST PEY DE CASTETS
33760;ST PIERRE DE BAT
33750;ST QUENTIN DE BARON
33220;ST QUENTIN DE CAPLONG
33240;ST ROMAIN LA VIRVEE
33250;ST SAUVEUR
33920;ST SAVIN
33650;ST SELVE
33710;ST SEURIN DE BOURG
33180;ST SEURIN DE CADOURNE
33190;ST SEVE
33420;ST VINCENT DE PERTIGNAS
33920;ST YZAN DE SOUDIAC
33710;SAMONAC
33210;SAUTERNES
33790;SOUSSAC
33320;LE TAILLAN MEDOC
33470;LE TEICH
33680;LE TEMPLE
33260;LA TESTE DE BUCH CAZAUX
33420;TIZAC DE CURTON
33370;TRESSES
34290;ABEILHAN
34210;AGEL
34800;ASPIRAN
34260;AVENE
34540;BALARUC LE VIEUX
34360;BERLOU
34160;BOISSERON
34760;BOUJAN SUR LIBRON
34260;LE BOUSQUET D ORB
34610;CASTANET LE HAUT
34170;CASTELNAU LE LEZ
34120;CAZOULS D HERAULT
34700;CELLES
34800;CLERMONT L HERAULT
34240;COMBES
34660;COURNONTERRAL
34920;LE CRES
34210;FERRALS LES MONTAGNES
51800;ST MARD SUR AUVE
51130;ST MARD LES ROUFFY
51600;STE MARIE A PY
51240;ST MARTIN AUX CHAMPS
51470;ST MEMMIE
51120;ST QUENTIN LE VERGER
51120;ST REMY SOUS BROYES
51260;ST SATURNIN
51800;ST THOMAS EN ARGONNE
51170;SARCY
51120;SAUDOY
51340;SCRUPT
51500;SILLERY
51120;SOIZY AUX BOIS
51290;SOMSOIS
51300;SOULANGES
51270;SUIZY LE FRANC
51220;THIL
51360;VAL DE VESLE
51140;TRIGNY
51400;VADENAY
51800;VALMY
51330;VANAULT LE CHATEL
51320;VATRY
51300;VAVRAY LE GRAND
51300;VAVRAY LE PETIT
51130;VERT TOULON
51130;VERT TOULON TOULON LA MONTAGNE
51310;VILLENEUVE LA LIONNE
51130;VILLENEUVE RENNEVILLE CHEVIGNY
51130;VILLERS AUX BOIS
51270;LA VILLE SOUS ORBAIS
51270;VILLEVENARD
51300;VITRY LE FRANCOIS
51150;VRAUX
51530;MAGENTA
52110;AMBONVILLE
52700;ANDELOT BLANCHEVILLE BLANCHEVILLE
52130;ATTANCOURT
52190;AUJEURRES
52120;AUTREVILLE SUR LA RENNE
52330;AUTREVILLE SUR LA RENNE ST MARTIN SUR LA RENNE
52140;AVRECOURT
52250;BAISSEY
52260;BEAUCHEMIN
52270;ROCHES BETTAINCOURT
52400;BOURBONNE LES BAINS GENRUPT
52400;BOURBONNE LES BAINS VILLARS ST MARCELLIN
52240;BREUVANNES EN BASSIGNY COLOMBEY LES CHOISEUL
52240;BREUVANNES EN BASSIGNY MEUVY
52130;BROUSSEVAL
52600;CHALINDREY
52160;VALS DES TILLES VILLEMORON
52700;CHALVRAINES
52360;CHANGEY
52120;CHATEAUVILLAIN
52120;CHATEAUVILLAIN MARMESSE
52000;CHAUMONT
52000;CHAUMONT BROTTES
52370;CIRFONTAINES EN AZOIS
52700;CLINCHAMP
52400;COIFFY LE BAS
52330;COLOMBEY LES DEUX EGLISES HARRICOURT
52330;COLOMBEY LES DEUX EGLISES PRATZ
52700;CONSIGNY
52200;COURCELLES EN MONTAGNE
52300;CUREL
52330;CURMONT
52700;DARMANNES
52190;DOMMARIEN
52110;DOMMARTIN LE ST PERE
52110;DOULEVANT LE CHATEAU
52230;EPIZON
52190;LE VAL D ESNOMS
52190;LE VAL D ESNOMS CHATOILLENOT
52190;LE VAL D ESNOMS COURCELLES VAL D ESNOMS
52000;EUFFIGNEIX
52410;EURVILLE BIENVILLE BIENVILLE
52260;FAVEROLLES
52130;FAYS
52170;FONTAINES SUR MARNE
52800;FOULAIN
52320;FRONCLES
52320;LA GENEVROYE
52330;GILLANCOURT
52230;GILLAUME
52500;GILLEY
52150;GRAFFIGNY CHEMIN
52500;GRENANT
52300;GUINDRECOURT AUX ORMES
52150;HACOURT
52150;HARREVILLE LES CHANTEURS
52600;HAUTE AMANCE
52600;HAUTE AMANCE HORTES
52600;HAUTE AMANCE ROSOY SUR AMANCE
52200;HUMES JORQUENAY JORQUENAY
52140;IS EN BASSIGNY
52000;JONCHERY
52100;LANEUVILLE AU PONT
52200;LANGRES
14540;GARCELLES SECQUEVILLE
14600;GENNEVILLE
14950;GLANVILLE
14100;GLOS
14450;GRANDCAMP MAISY MAISY
14540;GRENTHEVILLE
14170;HIEVILLE
14430;HOTOT EN AUGE BROCOTTES
14123;IFS
14170;JORT
14260;JURQUES
14250;JUVIGNY SUR SEULLES
14320;LAIZE LA VILLE
14240;LA LANDE SUR DROME
14380;LANDELLES ET COUPIGNY
14310;LANDES SUR AJON
14140;LIVAROT PAYS D AUGE LE MESNIL DURAND
14140;LIVAROT PAYS D AUGE LE MESNIL GERMAIN
14140;LIVAROT PAYS D AUGE TORTISAMBERT
14290;LIVAROT PAYS D AUGE CERQUEUX
14290;LIVAROT PAYS D AUGE PREAUX ST SEBASTIEN
14210;MAISONCELLES SUR AJON
14620;LE MARAIS LA CHAPELLE
14100;MAROLLES
